Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFC.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
2012-04-01,36.38230895996094,120.53154754638672,601.5165405273438,323.9140930175781,206.42654418945312,1208.8800048828125,71.129638671875,80.58873748779297,269.39886474609375,65.25775909423828,239.08154296875,297.1062927246094,152.9530487060547,383.3824462890625,1602.6240234375,199.314453125,369.30126953125,103.32721710205078,571.8430786132812,251.00856018066406,1628.54833984375,110.1843032836914,342.8379821777344,139.0126190185547,313.2208557128906,239.36036682128906,124.04261016845703,55.6463737487793,289.36328125,457.85015869140625,323.5243835449219,1250.3616943359375,4074.013916015625,88.10575866699219,111.66519927978516,57.281707763671875,339.63934326171875,191.2730255126953,282.5931091308594,100.4912338256836,304.14117431640625,15.449485778808594,508.56256103515625,141.0536651611328,217.76947021484375,1368.81494140625,67.74834442138672,137.0941925048828
2012-05-01,33.74056625366211,116.428955078125,639.1619873046875,369.3537292480469,181.06495666503906,1124.7506103515625,63.74156951904297,78.33839416503906,262.501220703125,67.88497924804688,227.5275115966797,295.1065979003906,139.60464477539062,417.9952697753906,1532.3084716796875,200.2220458984375,332.0823974609375,102.11702728271484,555.755859375,234.2129669189453,1329.9150390625,106.44305419921875,351.37603759765625,123.39961242675781,281.7760009765625,236.17648315429688,115.8825912475586,50.46138000488281,279.78070068359375,437.6045227050781,297.3481140136719,1002.81396484375,3926.75634765625,79.5933837890625,104.69771575927734,54.6557502746582,321.6340637207031,183.93287658691406,265.65435791015625,92.49662780761719,223.8663787841797,13.450200080871582,508.0525817871094,135.38539123535156,208.14276123046875,1367.8062744140625,65.50630950927734,138.76954650878906
2012-06-01,28.800233840942383,114.259765625,589.0633544921875,357.13861083984375,189.41937255859375,1170.4803466796875,66.52668762207031,84.15336608886719,264.6702880859375,72.39022827148438,223.56976318359375,301.43914794921875,150.54380798339844,459.0335998535156,1498.2642822265625,174.5261688232422,380.3106994628906,96.52545166015625,554.5249633789062,260.74810791015625,1561.9471435546875,109.40868377685547,373.1317138671875,144.63470458984375,321.2945251464844,244.9825897216797,130.8131866455078,54.5548095703125,294.0801086425781,521.6472778320312,322.2486572265625,1066.1591796875,3956.2587890625,86.45205688476562,117.78495025634766,58.465946197509766,340.4317932128906,196.66355895996094,297.9153137207031,99.67457580566406,232.94590759277344,14.709749221801758,521.1477661132812,142.37020874023438,208.7969970703125,1456.8092041015625,74.46722412109375,135.35107421875
2012-07-01,23.426084518432617,113.59956359863281,601.3255615234375,337.2116394042969,197.74411010742188,1193.884765625,72.38369750976562,95.70489501953125,260.3320617675781,70.70197296142578,197.73809814453125,322.4365539550781,155.9916534423828,491.0716552734375,1480.73388671875,170.7169189453125,413.33892822265625,105.05463409423828,596.8766479492188,274.09197998046875,1457.0133056640625,109.59117126464844,383.68133544921875,154.587890625,315.5343017578125,217.4254913330078,132.93508911132812,53.62373733520508,266.0027160644531,511.04852294921875,319.3325500488281,1034.349853515625,3903.6142578125,85.12370300292969,118.28112030029297,61.24637222290039,343.0848083496094,182.64479064941406,306.2557678222656,109.17353057861328,217.38096618652344,13.810070037841797,510.624267578125,143.33505249023438,207.44178771972656,1575.064208984375,70.9183578491211,116.25904083251953
2012-08-01,20.17570686340332,107.9428482055664,603.6525268554688,337.0635070800781,187.82994079589844,1238.692626953125,77.5669937133789,98.03238677978516,214.99847412109375,66.09089660644531,216.78565979003906,358.4797668457031,152.56236267089844,516.5374145507812,1538.177001953125,187.17117309570312,430.55511474609375,110.29170227050781,635.0045166015625,277.6361999511719,1281.154296875,94.7630615234375,426.7503662109375,145.060791015625,300.8284606933594,230.5767364501953,137.82716369628906,56.269046783447266,285.3287658691406,501.15899658203125,353.7718505859375,1042.0517578125,4040.151611328125,91.11486053466797,114.08413696289062,61.503822326660156,353.6043395996094,167.3644256591797,313.1905822753906,111.58050537109375,229.17337036132812,12.392267227172852,553.0802612304688,160.52076721191406,207.56837463378906,1627.2269287109375,71.0322494506836,123.96861267089844
2012-09-01,26.998750686645508,120.99088287353516,702.3404541015625,364.2918701171875,215.13894653320312,1401.76318359375,86.62657928466797,110.24613189697266,231.18228149414062,68.82452392578125,205.85986328125,364.10614013671875,155.81805419921875,490.55084228515625,1508.882568359375,201.6924591064453,481.896240234375,116.98733520507812,668.77099609375,293.39849853515625,1398.1920166015625,111.77153015136719,452.2261962890625,170.24928283691406,337.6539001464844,247.49667358398438,140.273193359375,61.39952850341797,322.4300537109375,602.8184204101562,400.8471984863281,1238.83447265625,3852.24609375,91.14199829101562,116.13094329833984,62.04446029663086,386.270263671875,204.0965118408203,327.9559020996094,124.86215209960938,261.6958312988281,13.746703147888184,533.38525390625,196.46421813964844,246.00172424316406,1899.221923828125,78.18893432617188,130.2764434814453
2012-10-01,28.90471076965332,120.75365447998047,749.1151123046875,358.40362548828125,223.96420288085938,1391.30810546875,84.44009399414062,120.0582504272461,234.840087890625,66.62379455566406,209.2781982421875,348.0130615234375,150.5363006591797,543.3623046875,1610.519775390625,202.46043395996094,481.7145080566406,123.17655181884766,658.3648071289062,295.7535095214844,1397.968994140625,107.92852020263672,452.8474426269531,168.866455078125,346.016845703125,230.70855712890625,145.49993896484375,59.90297317504883,300.0649108886719,614.1629028320312,410.002685546875,1318.9100341796875,4113.16162109375,89.91771697998047,111.81472778320312,59.32463455200195,371.6444091796875,192.22291564941406,327.2958068847656,131.24293518066406,249.1759033203125,13.448385238647461,541.4527587890625,191.69436645507812,244.25900268554688,1926.5833740234375,67.76573181152344,119.88304138183594
2012-11-01,32.17972946166992,123.50558471679688,786.6212158203125,401.89263916015625,249.9665069580078,1478.9708251953125,87.47937774658203,128.6929473876953,293.49566650390625,68.58769226074219,215.5740966796875,397.2023620605469,159.33895874023438,536.9052734375,1668.1923828125,238.96009826660156,488.6065368652344,133.8934783935547,728.44580078125,328.2808532714844,1358.298095703125,107.97481536865234,445.8053283691406,176.8498992919922,396.05194091796875,239.43411254882812,153.7134552001953,60.255821228027344,333.21490478515625,629.6599731445312,438.99884033203125,1351.885009765625,4172.05859375,88.3134994506836,110.33634185791016,61.354156494140625,366.20013427734375,197.69290161132812,334.69842529296875,145.0533905029297,267.4667053222656,13.24264907836914,542.0753173828125,177.87989807128906,293.6195068359375,1873.6943359375,69.96321868896484,134.44747924804688
2012-12-01,36.421142578125,128.10800170898438,756.2224731445312,411.3776550292969,256.9073486328125,1632.352294921875,89.596435546875,126.36603546142578,276.16455078125,70.33444213867188,215.81207275390625,396.8192138671875,154.2312469482422,500.4288635253906,1677.6822509765625,253.65150451660156,460.849365234375,126.18415832519531,715.7942504882812,316.4590148925781,1413.2872314453125,120.84661102294922,441.2866516113281,183.02442932128906,396.3370666503906,227.82522583007812,147.68849182128906,65.87299346923828,323.0760803222656,606.7257690429688,431.8830871582031,1366.74462890625,4368.87255859375,85.07786560058594,111.60650634765625,59.71493911743164,387.35455322265625,217.2954864501953,347.1461486816406,139.80894470214844,305.80902099609375,14.693099021911621,518.0859985351562,188.42013549804688,267.8559875488281,1917.0286865234375,77.32775115966797,134.87481689453125
2013-01-01,33.56221008300781,142.86416625976562,776.5363159179688,417.7442932128906,285.0496826171875,1552.6934814453125,84.48470306396484,124.24324798583984,295.760009765625,81.01242065429688,208.56427001953125,389.9221496582031,153.6009521484375,475.86956787109375,1756.67236328125,246.1247100830078,437.061767578125,140.3179473876953,679.263916015625,299.88067626953125,1354.9144287109375,107.60440826416016,398.4906311035156,191.53045654296875,414.15582275390625,274.0839538574219,158.42527770996094,71.58342742919922,338.1352844238281,582.0740966796875,412.227783203125,1450.7186279296875,4168.47900390625,85.43136596679688,144.2267608642578,57.347164154052734,409.0856628417969,222.0777130126953,338.54119873046875,130.54368591308594,291.4795837402344,13.883864402770996,554.51318359375,201.9010772705078,263.14599609375,1836.1993408203125,79.05011749267578,140.7040252685547
