Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFC.NS,HDFCBANK.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
2012-04-01,36.38230895996094,120.53153991699219,601.5164794921875,323.91412353515625,206.4265594482422,1208.8800048828125,71.12964630126953,80.58873748779297,269.39886474609375,65.25774383544922,239.08151245117188,297.1063537597656,152.95301818847656,383.38250732421875,1602.6241455078125,199.314453125,369.3012390136719,103.32723236083984,571.8431396484375,251.0085906982422,110.18431091308594,342.8378601074219,139.0126495361328,313.2208251953125,239.36041259765625,124.0426254272461,55.64636993408203,289.3633117675781,457.85009765625,323.5244445800781,4074.012451171875,88.10574340820312,111.66514587402344,57.28171157836914,339.63934326171875,191.27305603027344,282.5931091308594,100.4912338256836,304.1411437988281,15.449484825134277,508.5626220703125,141.0536346435547,217.7694854736328,1368.81494140625,67.74834442138672,137.09414672851562
2012-05-01,33.74056625366211,116.42893981933594,639.1619873046875,369.3537292480469,181.06495666503906,1124.7506103515625,63.7415657043457,78.33838653564453,262.501220703125,67.88500213623047,227.52752685546875,295.1065979003906,139.60462951660156,417.99530029296875,1532.30859375,200.22206115722656,332.0824279785156,102.11703491210938,555.7557983398438,234.2129364013672,106.44306945800781,351.37603759765625,123.39958190917969,281.77593994140625,236.17645263671875,115.88260650634766,50.46138381958008,279.78076171875,437.6044616699219,297.3481140136719,3926.755615234375,79.59337615966797,104.69774627685547,54.6557502746582,321.6340637207031,183.93289184570312,265.65435791015625,92.49662780761719,223.86636352539062,13.45019817352295,508.05255126953125,135.3853759765625,208.14276123046875,1367.8062744140625,65.50631713867188,138.76954650878906
2012-06-01,28.80023193359375,114.25975799560547,589.0632934570312,357.13861083984375,189.4193572998047,1170.48046875,66.52668762207031,84.15335845947266,264.6702575683594,72.39021301269531,223.56976318359375,301.4391174316406,150.5437774658203,459.0335998535156,1498.26416015625,174.52613830566406,380.3106994628906,96.52548217773438,554.5249633789062,260.74810791015625,109.40868377685547,373.1318054199219,144.6347198486328,321.2944641113281,244.98263549804688,130.81317138671875,54.55479049682617,294.080078125,521.6472778320312,322.2486267089844,3956.259765625,86.4520492553711,117.78492736816406,58.4659538269043,340.43182373046875,196.66355895996094,297.91522216796875,99.6745834350586,232.94593811035156,14.709745407104492,521.1480102539062,142.3701934814453,208.79701232910156,1456.8095703125,74.46721649169922,135.3511199951172
2012-07-01,23.426084518432617,113.59956359863281,601.32568359375,337.2115783691406,197.744140625,1193.884765625,72.3836669921875,95.70490264892578,260.3321228027344,70.70198822021484,197.73805236816406,322.4365539550781,155.99172973632812,491.0716857910156,1480.733642578125,170.71693420410156,413.33892822265625,105.05464935302734,596.87646484375,274.0920104980469,109.59117126464844,383.68121337890625,154.587890625,315.5343322753906,217.42547607421875,132.93508911132812,53.62374496459961,266.00274658203125,511.04852294921875,319.3325500488281,3903.614990234375,85.12370300292969,118.2811279296875,61.24635696411133,343.0847473144531,182.64479064941406,306.25579833984375,109.17353057861328,217.38096618652344,13.81006908416748,510.6241149902344,143.33502197265625,207.44178771972656,1575.064208984375,70.91834259033203,116.259033203125
2012-08-01,20.175704956054688,107.94285583496094,603.652587890625,337.0635070800781,187.82994079589844,1238.692626953125,77.5669937133789,98.03238677978516,214.99853515625,66.09087371826172,216.78567504882812,358.479736328125,152.56236267089844,516.5372924804688,1538.177001953125,187.1711883544922,430.5550537109375,110.29167175292969,635.0042724609375,277.6361999511719,94.76305389404297,426.7503662109375,145.060791015625,300.82843017578125,230.57675170898438,137.8271484375,56.269039154052734,285.3288269042969,501.1589660644531,353.77191162109375,4040.150634765625,91.1148910522461,114.08414459228516,61.50380325317383,353.6043701171875,167.3644256591797,313.19061279296875,111.58050537109375,229.17335510253906,12.392266273498535,553.0799560546875,160.520751953125,207.56838989257812,1627.226806640625,71.0322494506836,123.96862030029297
2012-09-01,26.99875259399414,120.99088287353516,702.3403930664062,364.2918395996094,215.1389617919922,1401.7630615234375,86.62657928466797,110.24615478515625,231.18226623535156,68.82453155517578,205.85984802246094,364.10614013671875,155.81805419921875,490.55078125,1508.882568359375,201.69248962402344,481.89630126953125,116.98738861083984,668.771240234375,293.3985595703125,111.77153778076172,452.22607421875,170.249267578125,337.65386962890625,247.49664306640625,140.27316284179688,61.399532318115234,322.42999267578125,602.8185424804688,400.8472595214844,3852.2451171875,91.1419906616211,116.13096618652344,62.044429779052734,386.2702941894531,204.0965118408203,327.9559020996094,124.8621826171875,261.6958312988281,13.7467041015625,533.385498046875,196.46424865722656,246.001708984375,1899.2218017578125,78.18893432617188,130.2764434814453
2012-10-01,28.90471076965332,120.75366973876953,749.1151123046875,358.40362548828125,223.96420288085938,1391.307861328125,84.44010162353516,120.05825805664062,234.84005737304688,66.62379455566406,209.2781982421875,348.0130615234375,150.5363311767578,543.3622436523438,1610.519775390625,202.46043395996094,481.7144775390625,123.17660522460938,658.36474609375,295.7535705566406,107.92852783203125,452.8475646972656,168.866455078125,346.016845703125,230.7085723876953,145.49993896484375,59.9029655456543,300.0649108886719,614.162841796875,410.002685546875,4113.1630859375,89.91771697998047,111.81474304199219,59.324642181396484,371.6444396972656,192.22291564941406,327.2958068847656,131.242919921875,249.1759033203125,13.448383331298828,541.4525146484375,191.69435119628906,244.25901794433594,1926.5831298828125,67.76573181152344,119.88304138183594
2012-11-01,32.17972183227539,123.50559997558594,786.6212768554688,401.89263916015625,249.96646118164062,1478.9708251953125,87.47937774658203,128.6929168701172,293.4956359863281,68.58769226074219,215.5740966796875,397.20233154296875,159.33895874023438,536.9052734375,1668.1925048828125,238.9600830078125,488.6065368652344,133.8934783935547,728.4459228515625,328.2807922363281,107.97480010986328,445.8054504394531,176.8498992919922,396.0519104003906,239.43406677246094,153.71343994140625,60.25581359863281,333.2149658203125,629.6598510742188,438.99884033203125,4172.05859375,88.31349182128906,110.33634185791016,61.35417556762695,366.2001037597656,197.69288635253906,334.6983642578125,145.0533905029297,267.46673583984375,13.242650032043457,542.0752563476562,177.87989807128906,293.6195068359375,1873.6944580078125,69.96321105957031,134.4474639892578
2012-12-01,36.42113494873047,128.10801696777344,756.2225341796875,411.37762451171875,256.9073181152344,1632.35205078125,89.596435546875,126.36605072021484,276.16461181640625,70.33444213867188,215.8120574951172,396.8191833496094,154.23123168945312,500.4288330078125,1677.6820068359375,253.6515350341797,460.8493957519531,126.18417358398438,715.7941284179688,316.4591064453125,120.84658813476562,441.2866516113281,183.0244140625,396.3370361328125,227.82518005371094,147.68850708007812,65.87299346923828,323.07611083984375,606.725830078125,431.8830871582031,4368.87353515625,85.07786560058594,111.60653686523438,59.71493148803711,387.35455322265625,217.29547119140625,347.1462097167969,139.8089141845703,305.80902099609375,14.693099021911621,518.0861206054688,188.4201202392578,267.85601806640625,1917.028564453125,77.3277587890625,134.87481689453125
2013-01-01,33.56221008300781,142.86415100097656,776.536376953125,417.74432373046875,285.04962158203125,1552.6932373046875,84.4847183227539,124.24324035644531,295.760009765625,81.01240539550781,208.5642547607422,389.922119140625,153.60093688964844,475.86956787109375,1756.6722412109375,246.12469482421875,437.0617370605469,140.31793212890625,679.2639770507812,299.8806457519531,107.60440826416016,398.4906921386719,191.53045654296875,414.15582275390625,274.08392333984375,158.42526245117188,71.58344268798828,338.13525390625,582.073974609375,412.227783203125,4168.4794921875,85.43135070800781,144.22679138183594,57.34714126586914,409.0857238769531,222.0777130126953,338.5411682128906,130.54367065429688,291.47955322265625,13.883862495422363,554.51318359375,201.9010467529297,263.1460266113281,1836.1993408203125,79.05010986328125,140.70401000976562
